,description,naf5,naf4,naf3,naf2
431,Commerce ; Réparation des automobiles et des motos,46.76Z,46.76,46.7,46.0
432,Commerce ; Réparation des automobiles et des motos,46.77Z,46.77,46.7,46.0
433,Commerce ; Réparation des automobiles et des motos,46.90Z,46.9,46.9,46.0
434,Commerce ; Réparation des voitures et des motos,47.11A,47.11,47.1,47.0
435,"Commerce ; Réparation du commerce de détail des voitures et des motos, à l'exception du commerce de détail des voitures et des motos dans le commerce de détail des magasins non spécialisés dans le commerce des magasins non spécialisés.",47.11B,47.11,47.1,47.0
436,Commerce ; Réparation des voitures et motos,47.11C,47.11,47.1,47.0
437,Commerce ; Réparation des voitures et des motos,47.11D,47.11,47.1,47.0
438,Commerce ; Réparation des voitures et motos,47.11E,47.11,47.1,47.0
439,Commerce ; Réparation des voitures et motos,47.11F,47.11,47.1,47.0
440,Commerce ; Réparation des voitures et motos,47.19A,47.19,47.1,47.0
441,"Commerce ; Réparation de voitures et de détail à moto, à l'exception des voitures et des motos, le commerce de détail en magasin non spécialisé d'autres commerces de détail dans un magasin non spécialisé d'autres magasins de détail dans un magasin non spécialisé",47.19B,47.19,47.1,47.0
442,Commerce ; Réparation des voitures et des motos,47.21Z,47.21,47.2,47.0
443,Commerce ; Réparation des voitures et des motos,47.22Z,47.22,47.2,47.0
444,Commerce ; Réparation des voitures et des motos,47.23Z,47.23,47.2,47.0
445,Commerce ; Réparation des voitures et des motos,47.24Z,47.24,47.2,47.0
446,Commerce ; Réparation des voitures et des motos,47.25Z,47.25,47.2,47.0
447,Commerce ; Réparation des voitures et des motos,47.26Z,47.26,47.2,47.0
448,Commerce ; Réparation des voitures et des motos,47.29Z,47.29,47.2,47.0
449,Commerce ; Réparation des voitures et des motos,47.30Z,47.3,47.3,47.0
450,Commerce ; Réparation des voitures et des motos,47.41Z,47.41,47.4,47.0
451,Commerce ; Réparation des voitures et des motos,47.42Z,47.42,47.4,47.0
452,Commerce ; Réparation des voitures et des motos,47.43Z,47.43,47.4,47.0
453,Commerce ; Réparation de voitures et de motos,47.51Z,47.51,47.5,47.0
454,Commerce ; Réparation des voitures et des motos m²),47.52A,47.52,47.5,47.0
455,Commerce ; Réparation des voitures et des motos ),47.52B,47.52,47.5,47.0
456,Commerce ; Réparation des voitures et des motos,47.53Z,47.53,47.5,47.0
457,Commerce ; Réparation des voitures et des motos,47.54Z,47.54,47.5,47.0
458,Commerce ; Réparation de voitures et de motos,47.59A,47.59,47.5,47.0
459,Commerce ; Réparation des voitures et motos,47.59B,47.59,47.5,47.0
460,Commerce ; Réparation des voitures et des motos,47.61Z,47.61,47.6,47.0
461,Commerce ; Réparation des voitures et des motos,47.62Z,47.62,47.6,47.0
462,Commerce ; Réparation des voitures et des motos,47.63Z,47.63,47.6,47.0
463,Commerce ; Réparation des voitures et des motos,47.64Z,47.64,47.6,47.0
464,Commerce ; Réparation des voitures et des motos,47.65Z,47.65,47.6,47.0
465,Commerce ; Réparation des voitures et des motos,47.71Z,47.71,47.7,47.0
466,Commerce ; Réparation des voitures et des motos,47.72A,47.72,47.7,47.0
467,Commerce ; Réparation des voitures et des motos,47.72B,47.72,47.7,47.0
468,Commerce ; Réparation des voitures et des motos,47.73Z,47.73,47.7,47.0
469,Commerce ; Réparation des voitures et des motos,47.74Z,47.74,47.7,47.0
470,Commerce ; Réparation des voitures et des motos,47.75Z,47.75,47.7,47.0
471,"Commerce ; Réparation des voitures et des motos Engrais, animaux de compagnie et aliments pour ces animaux dans un magasin spécialisé",47.76Z,47.76,47.7,47.0
472,Commerce ; Réparation des voitures et des motos,47.77Z,47.77,47.7,47.0
473,"Commerce ; Réparation des voitures et des motos détaillants, à l'exception des voitures et des motos d'autres magasins de détail dans un magasin spécialisé d'autres commerces de détail dans de nouveaux produits dans des magasins de détail spécialisés Optics",47.78A,47.78,47.7,47.0
474,"Commerce ; Réparation des voitures et des motos détaillants, à l'exception des voitures et des motos d'autres magasins de détail dans un magasin spécialisé d'autres commerces de détail dans de nouveaux produits dans des magasins de détail spécialisés de charbons et combustibles",47.78B,47.78,47.7,47.0
475,Commerce ; Réparation de voitures et de motos,47.78C,47.78,47.7,47.0
476,Commerce ; Réparation des voitures et des motos,47.79Z,47.79,47.7,47.0
477,Commerce ; Réparation des voitures et des motos,47.81Z,47.81,47.8,47.0
478,Commerce ; Réparation des voitures et des motos,47.82Z,47.82,47.8,47.0
479,Commerce ; Réparation des voitures et des motos,47.89Z,47.89,47.8,47.0
480,Commerce ; Réparation des voitures et des motos,47.91A,47.91,47.9,47.0
481,Commerce ; Réparation des voitures et des motos,47.91B,47.91,47.9,47.0
482,Commerce ; Réparation des voitures et des motos,47.99A,47.99,47.9,47.0
483,Commerce ; Réparation des voitures et des motos,47.99B,47.99,47.9,47.0
484,Transports et terrain de colonation Transports et transports par des doctions Interban Reviaide Transport des parcelles Transport Interban Reviaire Transolations Interban Revial Transports,49.10Z,49.1,49.1,49.0
485,Transports et formation Terrain Transports et transports par documents Les transports réels sont les transports réels,49.20Z,49.2,49.2,49.0
486,Transport et stockage Land Transport et transport par conduite Autres transports terrestres des voyageurs Transport urbain et de banlieue Transport urbain et banlieue voyageurs de voyageurs,49.31Z,49.31,49.3,49.0
487,Transports et formation du terrain Transports et transformation de nos conditions,49.32Z,49.32,49.3,49.0
488,Transport et stockage Land Transport et transport par conduisés Autres transports terrestres de voyageurs Autres transports terrestres de voyageurs N.C.A. Transports réguliers des voyageurs,49.39A,49.39,49.3,49.0
489,Transport et stockage Land Transport et transport par conduite Autre transport terrestre des voyageurs Autres transports terrestres de voyageurs N.C.A. Autre transport routier des voyageurs,49.39B,49.39,49.3,49.0
490,Transport et stockage Land Transport et transport par conduisés Autres transports terrestres de voyageurs Autres transports terrestres de voyageurs N.C.A. téléphérique et ascenseurs de ski,49.39C,49.39,49.3,49.0
491,Transports et entraînement Terrain Transports et transports par documents Restocteurs FRET Développement et services de mouvement Les transports de frette des transports de frette de frette interdite,49.41A,49.41,49.4,49.0
492,Transports et formation Terrain Transports et transports par les enquêtes Restaucations Le développement et les services de mouvement La restauration de la France complète le transport de frette français,49.41B,49.41,49.4,49.0
493,Transports et terrain de comité Transports et transports par documents Restaucations Fret Développe et services de mouvement Rood Transport Fret Location des camions avec conducteur,49.41C,49.41,49.4,49.0
494,Transports et formation Terrain Transports et transports par les enquêtes Restaucations Resurs de frette et services de mouvement Mémoir les services toment,49.42Z,49.42,49.4,49.0
495,Transports et formation Terrain Transports et transport par documents Transports Transports Transports Transports Transnations,49.50Z,49.5,49.5,49.0
496,Transports et transports en eau de pas transports transport et coother des passants Transports maritimes et coother des passants Transports maritimes et coother de passants,50.10Z,50.1,50.1,50.0
497,Transports et transports en eau de coloration Transports maritimes et coodient des transports maritimes FRET et du coodim des transports maritimes de frette et du foulard,50.20Z,50.2,50.2,50.0
498,Transport et stockage Transports par les transports en eau Transports de rivière Transport des transports transport Transports de passagers de passagers,50.30Z,50.3,50.3,50.0
499,Transport et stockage Transports par eau Transports de fret,50.40Z,50.4,50.4,50.0
500,Transports et entraînement Transports aériens Transports aériens,51.10Z,51.1,51.1,51.0
501,Transports et entraînement Les transports aériens procédures aériennes et les transports corsés transportent les transports de frette,51.21Z,51.21,51.2,51.0
502,Transports et entraînement Air Transports aérien Transports aériens,51.22Z,51.22,51.2,51.0
503,Stockage des transports et du stockage et services auxiliaires de stockage de stockage et de stockage et de stockage de stockage et de réfrigération,52.10A,52.1,52.1,52.0
504,Stockage du transport et du stockage et services auxiliaires de stockage et de stockage de transport et de stockage et de stockage non réfrigéré,52.10B,52.1,52.1,52.0
505,Transport et stockage de stockage et services auxiliaires pour les services de transport Services de transport auxiliaires pour les services auxiliaires de transport terrestre pour le transport terrestre,52.21Z,52.21,52.2,52.0
506,Transport et stockage Stockage et services auxiliaires des services de transport Services de transport auxiliaires du transport en eau par les services d'eau du transport en eau,52.22Z,52.22,52.2,52.0
507,Transport et stockage de stockage et services auxiliaires pour les services de transport Services de transport auxiliaires des services de transport aérien Transport aérien auxiliaire,52.23Z,52.23,52.2,52.0
508,Transport et stockage de stockage et services auxiliaires pour les services de transport,52.24A,52.24,52.2,52.0
509,Transport et stockage de stockage et services auxiliaires pour les services de transport Manipulation des transports auxiliaire,52.24B,52.24,52.2,52.0
510,Transport et stockage de stockage et services auxiliaires pour les services de transport,52.29A,52.29,52.2,52.0
511,Transport et stockage de stockage et services auxiliaires pour les services de transport,52.29B,52.29,52.2,52.0
512,Activités de poste et de stockage de transport et de courrier Post Activité dans le cadre d'un bureau de poste Universal Service Office dans le cadre d'un bureau de poste Universal Service Office dans le cadre d'une obligation de service universel,53.10Z,53.1,53.1,53.0
